Monarch,Lineage,Monarch Pop,Parasite,Parasite Pop,Inoc Date,Hatch Date,Pupation,Pupal Score,Emergence,Sex,Weight,Death,Longevity,Logspore,Sqrtspore,survived,inoculated,Infected
510,17,Miami,Control,Eastern10,6/17/2011,6/15/2011,6/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
513,17,Miami,C1E25,Eastern10,6/17/2011,6/15/2011,6/26/2011,0,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
514,17,Miami,C1E25,Eastern10,6/17/2011,6/15/2011,6/28/2011,0,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
517,17,Miami,C1E25,Eastern10,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
524,17,Miami,C1E26,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
526,17,Miami,C1E26,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
528,17,Miami,C1E26,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
531,17,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
534,17,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,6/29/2011,0,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
537,17,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
539,17,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,6/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
552,17,Miami,C1F18,Miami,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
555,17,Miami,C1F18,Miami,6/17/2011,6/15/2011,6/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
559,17,Miami,C1F18,Miami,6/17/2011,6/15/2011,6/27/2011,1,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
560,17,Miami,Control,Miami,6/17/2011,6/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
563,17,Miami,C1F19,Miami,6/17/2011,6/15/2011,6/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
565,17,Miami,C1F19,Miami,6/17/2011,6/15/2011,7/1/2011,0,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
566,17,Miami,C1F19,Miami,6/17/2011,6/15/2011,6/29/2011,1,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
567,17,Miami,C1F19,Miami,6/17/2011,6/15/2011,6/27/2011,1,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
570,17,Miami,Control,Miami,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
571,17,Miami,C1F20,Miami,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
573,17,Miami,C1F20,Miami,6/18/2011,6/16/2011,6/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
574,17,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
575,17,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
576,17,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
577,17,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
578,17,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
581,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,6/28/2011,0,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
582,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
585,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
586,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
587,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
588,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
589,17,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
590,17,Miami,Control,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
595,17,Miami,C1F22,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
597,17,Miami,C1F22,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
598,17,Miami,C1F22,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
599,17,Miami,C1F22,Miami,6/18/2011,6/16/2011,NA,0,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
624,18,Miami,C1E26,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
630,18,Miami,Control,Eastern10,6/18/2011,6/16/2011,6/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
631,18,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
632,18,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
633,18,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
637,18,Miami,C1E27,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
645,18,Miami,C1E28,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
648,18,Miami,C1E28,Eastern10,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
653,18,Miami,C1F18,Miami,6/17/2011,6/15/2011,6/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
656,18,Miami,C1F18,Miami,6/17/2011,6/15/2011,6/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
659,18,Miami,C1F18,Miami,6/17/2011,6/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
667,18,Miami,C1F19,Miami,6/17/2011,6/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
668,18,Miami,C1F19,Miami,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
670,18,Miami,Control,Miami,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
672,18,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
674,18,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
676,18,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
677,18,Miami,C1F20,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
681,18,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
684,18,Miami,C1F21,Miami,6/18/2011,6/16/2011,6/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
687,18,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
689,18,Miami,C1F21,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
690,18,Miami,Control,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
691,18,Miami,C1F22,Miami,6/18/2011,6/16/2011,6/26/2011,1,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
695,18,Miami,C1F22,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
698,18,Miami,C1F22,Miami,6/18/2011,6/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
704,19,Miami,C1E23,Eastern10,6/19/2011,6/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
720,19,Miami,Control,Eastern10,6/19/2011,6/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
